,t,y
0,0.0,2.2396445e-05
1,0.0,2.2396445e-05
2,0.0,2.2396445e-05
3,0.0,2.2396445e-05
4,0.0,2.2396445e-05
5,0.0,2.2396445e-05
6,0.0,2.2396445e-05
7,0.0,2.2396445e-05
8,0.0,2.2396445e-05
9,0.0,2.2396445e-05
10,0.0,2.2396445e-05
11,0.0,2.2396445e-05
12,0.0,2.2396445e-05
13,0.0,2.2396445e-05
14,0.0,2.2396445e-05
15,0.0,2.2396445e-05
16,0.0,2.2396445e-05
17,0.0,2.2396445e-05
18,0.0,2.2396445e-05
19,0.0,2.2396445e-05
20,0.0,2.2396445e-05
21,0.0,2.2396445e-05
22,0.049751244,0.09240529
23,0.09950249,0.17171077
24,0.14925373,0.23956998
25,0.19900498,0.29743665
26,0.24875621,0.34658605
27,0.29850745,0.38813037
28,0.3482587,0.42303586
29,0.39800996,0.45214474
30,0.4477612,0.47619122
31,0.49751243,0.49581724
32,0.5472637,0.5115856
33,0.5970149,0.5239914
34,0.6467662,0.5334682
35,0.6965174,0.54039866
36,0.74626863,0.5451185
37,0.7960199,0.5479236
38,0.84577113,0.54907304
39,0.8955224,0.54879516
40,0.94527364,0.5472894
41,0.99502486,0.54473025
42,1.0447761,0.54127157
43,1.0945274,0.53704685
44,1.1442786,0.5321727
45,1.1940298,0.5267515
46,1.2437811,0.5208723
47,1.2935324,0.5146127
48,1.3432835,0.5080398
49,1.3930348,0.5012124
50,1.4427861,0.49418187
51,1.4925373,0.48699224
52,1.5422885,0.47968245
53,1.5920398,0.47228515
54,1.641791,0.46482992
55,1.6915423,0.45734078
56,1.7412935,0.44984078
57,1.7910448,0.44234735
58,1.840796,0.4348774
59,1.8905473,0.42744416
60,1.9402986,0.42005932
61,1.9900497,0.41273367
62,2.039801,0.4054746
63,2.0895522,0.39829063
64,2.1393034,0.39118683
65,2.1890547,0.3841688
66,2.238806,0.37724042
67,2.2885573,0.3704055
68,2.3383086,0.36366642
69,2.3880596,0.35702556
70,2.437811,0.3504848
71,2.4875622,0.34404492
72,2.5373135,0.3377064
73,2.5870647,0.33147085
74,2.636816,0.32533765
75,2.686567,0.31930673
76,2.7363183,0.3133784
77,2.7860696,0.3075512
78,2.835821,0.30182552
79,2.8855722,0.29619998
80,2.9353235,0.29067373
81,2.9850745,0.285246
82,3.0348258,0.27991503
83,3.084577,0.27468085
84,3.1343284,0.26954114
85,3.1840796,0.26449502
